'1', 'Indian Institute of Technology Madras', 'Tamil Nadu'
'2', 'Indian Institute of Technology Delhi', 'Delhi'
'3', 'Indian Institute of Technology Bombay', 'Maharashtra'
'4', 'Indian Institute of Technology Kanpur', 'Uttar Pradesh'
'5', 'Indian Institute of Technology Kharagpur', 'West Bengal'
'6', 'Indian Institute of Technology Roorkee', 'Uttarakhand'
'7', 'Indian Institute of Technology Guwahati', 'Assam'
'8', 'Indian Institute of Technology Hyderabad', 'Telangana'
'9', 'National Institute of Technology Tiruchirappalli', 'Tamil Nadu'
'10', 'Indian Institute of Technology Indore', 'Madhya Pradesh'
'11', 'Indian Institute of Technology (BHU) Varanasi', 'Uttar Pradesh'
'12', 'Indian Institute of Technology (Indian School of Mines)', 'Jharkhand'
'13', 'National Institute of Technology Karnataka', 'Karnataka'
'14', 'Anna University', 'Tamil Nadu'
'15', 'Vellore Institute of Technology', 'Tamil Nadu'
'16', 'National Institute of Technology Rourkela', 'Odisha'
'17', 'Jadavpur University', 'West Bengal'
'18', 'Institute of Chemical Technology', 'Maharashtra'
'19', 'National Institute of Technology Warangal', 'Telangana'
'20', 'Amrita School of Engineering', 'Kerala'
'21', 'Indian Institute of Engineering Science and Technology', 'West Bengal'
'22', 'Indian Institute of Technology Bhubaneswar', 'Odisha'
'23', 'National Institute of Technology Calicut', 'Kerala'
'24', 'Indian Institute of Technology Gandhinagar', 'Gujarat'
'25', 'Indian Institute of Technology Ropar', 'Punjab'
'26', 'Indian Institute of Technology Patna', 'Bihar'
'27', 'Visvesvaraya National Institute of Technology', 'Maharashtra'
'28', 'Jamia Millia Islamia', 'Delhi'
'29', 'Thapar Institute of Engineering & Technology', 'Punjab'
'30', 'Birla Institute of Technology & Science', 'Rajasthan'
'31', 'Indian Institute of Technology Mandi', 'Himachal Pradesh'
'32', 'Amity University Noida', 'Uttar Pradesh'
'33', 'Indian Institute of Space Science and Technology', 'Kerala'
'34', 'Siksha `O` Anusandhan', 'Odisha'
'35', 'Malaviya National Institute of Technology', 'Rajasthan'
'36', 'Delhi Technological University', 'Delhi'
'37', 'Shanmugha Arts Science Technology & Research Academy', 'Tamil Nadu'
'38', 'Birla Institute of Technology', 'Jharkhand'
'39', 'Aligarh Muslim University', 'Uttar Pradesh'
'40', 'National Institute of Technology Kurukshetra', 'Haryana'
'41', 'S. R. M. Institute of Science and Technology', 'Tamil Nadu'
'42', 'Kalinga Institute of Industrial Technology', 'Odisha'
'43', 'International Institute of Information Technology Hyderabad', 'Telangana'
'44', 'Sri Sivasubramaniya Nadar College of Engineering', 'Tamil Nadu'
'45', 'Manipal Institute of Technology', 'Karnataka'
'46', 'National Institute of Technology Silchar', 'Assam'
'47', 'National Institute of Technology Durgapur', 'West Bengal'
'48', 'Motilal Nehru National Institute of Technology', 'Uttar Pradesh'
'49', 'PSG College of Technology', 'Tamil Nadu'
'50', 'College of Engineering Pune', 'Maharashtra'
'51', 'Sathyabama Institute of Science and Technology', 'Tamil Nadu'
'52', 'Dr. B. R. Ambedkar National Institute of Technology', 'Punjab'
'53', 'Indian Institute of Technology Jodhpur', 'Rajasthan'
'54', 'Sardar Vallabhbhai National Institute of Technology', 'Gujarat'
'55', 'Visvesvaraya Technological University', 'Karnataka'
'56', 'Indraprastha Institute of Information Technology Delhi', 'Delhi'
'57', 'Jawaharlal Nehru Technological University', 'Telangana'
'58', 'Koneru Lakshmaiah Education Foundation University', 'Andhra Pradesh'
'59', 'M. S. Ramaiah Institute of Technology', 'Karnataka'
'60', 'Kalasalingam Academy of Research and Higher Education', 'Tamil Nadu'
'61', 'National Institute of Technology Meghalaya', 'Meghalaya'
'62', 'International Institute of Information Technology Bangalore', 'Karnataka'
'63', 'Defence Institute of Advanced Technology', 'Maharashtra'
'64', 'Thiagarajar College of Engineering', 'Tamil Nadu'
'65', 'Maulana Azad National Institute of Technology', 'Madhya Pradesh'
'66', 'Indian Institute of Information Technology Guwahati', 'Assam'
'67', 'National Institute of Technology Raipur', 'Chhattisgarh'
'68', 'Punjab Engineering College (Deemed To Be University)', 'Chandigarh'
'69', 'College of Engineering(A)', 'Andhra Pradesh'
'70', 'R. V. College of Engineering', 'Karnataka'
'71', 'Veermata Jijabai Technological Institute', 'Maharashtra'
'72', 'Panjab University', 'Chandigarh'
'73', 'B.M.S. College of Engineering', 'Karnataka'
'74', 'Indian Institute of Food Processing Technology (IIFPT)', 'Tamil Nadu'
'75', 'National Institute of Technology Agartala', 'Tripura'
'76', 'Netaji Subhas University of Technology (NSUT)', 'Delhi'
'77', 'National Institute of Technology Goa', 'Goa'
'78', 'Shri Mata Vaishno Devi University', 'Jammu and Kashmir'
'79', 'National Institute of Technology Jamshedpur', 'Jharkhand'
'80', 'Karunya Institute of Technology and Sciences', 'Tamil Nadu'
'81', 'Indian Institute of Information Technology Design & Manufacturing Jabalpur', 'Madhya Pradesh'
'82', 'Kumaraguru College of Technology', 'Tamil Nadu'
'83', 'Sri Krishna College of Engineering and Technology', 'Tamil Nadu'
'84', 'Chandigarh University', 'Punjab'
'85', 'College of Engineering Trivandrum', 'Kerala'
'86', 'Guru Gobind Singh Indraprastha University', 'Delhi'
'87', 'Lovely Professional University', 'Punjab'
'88', 'University College of Engineering', 'Telangana'
'89', 'Graphic Era University', 'Uttarakhand'
'90', 'Coimbatore Institute of Technology', 'Tamil Nadu'
'91', 'Siddaganga Institute of Technology', 'Karnataka'
'92', 'National Institute of Technology Patna', 'Bihar'
'93', 'C.V. Raman Global University', 'Odisha'
'94', 'PES University', 'Karnataka'
'95', 'Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology', 'Tamil Nadu'
'96', 'Jaypee Institute of Information Technology', 'Uttar Pradesh'
'97', 'University College of Engineering', 'Andhra Pradesh'
'98', 'National Institute of Technology Hamirpur', 'Himachal Pradesh'
'99', 'Bharati Vidyapeeth Deemed University College of Engineering', 'Maharashtra'
'100', 'Atal Bihari Vajpayee Indian Institute of Information Technology and Management', 'Madhya Pradesh'
